"table","category","family","species_orig","comm_name","council","species"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Thalassoma lutescens","Sunset wrasse","WPFMC","Thalassoma lutescens"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Mulloidichthys spp.","Yellow goatfish","WPFMC","Mulloidichthys spp."
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Mulloidichthys pfleugeri","Orange goatfish","WPFMC","Mulloidichthys pfluegeri"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Mulloidichthys flavolineatus","Yellowstripe goatfish","WPFMC","Mulloidichthys flavolineatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Parupeneus spp.","Banded goatfish","WPFMC","Parupeneus spp."
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Parupeneus barberinus","Dash-dot goatfish","WPFMC","Parupeneus barberinus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Parupeneus cyclostomas","Yellowsaddle goatfish","WPFMC","Parupeneus cyclostomus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Parupeneus multifaciatus","Multi-barred goatfish","WPFMC","Parupeneus multifaciatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mullidae (Goatfishes)","Upeneus arge","Bantail goatfish","WPFMC","Upeneus taeniopterus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mugilidae (Mullets)","Crenimugil crenilabis","Fringelip mullet","WPFMC","Crenimugil crenilabis"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mugilidae (Mullets)","Moolgarda engeli","Engel’s mullet","WPFMC","Moolgarda engeli"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Mugilidae (Mullets)","Neomyxus leuciscus","False mullet","WPFMC","Neomyxus leuciscus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Muraenidae (Moray eels)","Gymnothorax flavimarginatus","Yellowmargin moray eel","WPFMC","Gymnothorax flavimarginatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Muraenidae (Moray eels)","Gymnothorax javanicus","Giant moray eel","WPFMC","Gymnothorax javanicus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Muraenidae (Moray eels)","Gymnothorax undulatus","Undulated moray eel","WPFMC","Gymnothorax undulatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Octopodidae","Octopus cyanea","Octopus","WPFMC","Octopus cyanea"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Octopodidae","Octopus ornatus","Octopus","WPFMC","Callistoctopus ornatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Pricanthidae (Bigeye)","Heteropriacanthus cruentatus","Glasseye","WPFMC","Heteropriacanthus cruentatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Scaridae (Parrotfishes)","Bolbometopon muricatum","Humphead parrotfish","WPFMC","Bolbometopon muricatum"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Scaridae (Parrotfishes)","Scarus spp.","Parrotfish","WPFMC","Scarus spp."
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Scaridae (Parrotfishes)","Hipposcarus longiceps","Pacific longnose
Parrotfish","WPFMC","Hipposcarus longiceps"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Scaridae (Parrotfishes)","Calotomus carolinus","Stareye parrotfish","WPFMC","Calotomus carolinus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Scombridae","Gymnosarda unicolor","Dogtooth tuna","WPFMC","Gymnosarda unicolor"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Sphyraenidae (Barracuda)","Sphyraena barracuda","Great barracuda","WPFMC","Sphyraena barracuda"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Labridae","Wrasses (those species not listed as chcrt)","WPFMC","Labridae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Carcharhinidae Sphyrnidae","Sharks (those species not listed as chcrt)","WPFMC","Carcharhinidae Sphyrnidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Myliobatidae Mobulidae","Rays and skates","WPFMC","Myliobatidae Mobulidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Serrandiae","Groupers (those species not listed as chcrt or as bmus)","WPFMC","Serrandiae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Carangidae","Jacks and scads (those species not listed as chcrt or as bmus)","WPFMC","Carangidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Holocentridae","Solderfishes and squirrelfishes,(those species not listed as chcrt)","WPFMC","Holocentridae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Mullidae","Goatfishes,(those species not listed as chcrt)","WPFMC","Mullidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Ephippidae","Batfishes","WPFMC","Ephippidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Haemulidae","Sweetlips","WPFMC","Haemulidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Echeneidae","Remoras","WPFMC","Echeneidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Malacanthidae","Tilefishes","WPFMC","Malacanthidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Pseudochromidae","Dottybacks","WPFMC","Pseudochromidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Plesiopidae","Prettyfins","WPFMC","Plesiopidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Acanthuridae","Surgeonfishes (those species not listed as chcrt)","WPFMC","Acanthuridae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Lethrinidae","Emperors (those species not listed as chcrt or as bmus)","WPFMC","Lethrinidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Clupeidae","Herrings","WPFMC","Clupeidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Gobiidae","Gobies","WPFMC","Gobiidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Lutjanidae","Snappers (those species not listed as chcrt or as bmus)","WPFMC","Lutjanidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Balistidae","Trigger fishes (those species not listed as chcrt)","WPFMC","Balistidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Siganidae","Rabbitfishes (those species not listed as chcrt)","WPFMC","Siganidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Muraenidae Chlopsidae Congridae Ophichthidae","Eels (those species not listed as chcrt)","WPFMC","Muraenidae Chlopsidae Congridae Ophichthidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Apogonidae","Cardinalfishes","WPFMC","Apogonidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Zanclidae","Moorish idols","WPFMC","Zanclidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Chaetodontidae","Butterfly fishes","WPFMC","Chaetodontidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Pomacanthidae","Angelfishes","WPFMC","Pomacanthidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Pomacentridae","Damselfishes","WPFMC","Pomacentridae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Scorpaenidae","Scorpionfishes","WPFMC","Scorpaenidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Blenniidae","Blennies","WPFMC","Blenniidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Sphyraenidae","Barracudas (those species not listed as chcrt)","WPFMC","Sphyraenidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Pinguipedidae","Sandperches","WPFMC","Pinguipedidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Kyphosidae","Rudderfishes (those species not listed as chcrt)","WPFMC","Kyphosidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Caesionidae","Fusiliers","WPFMC","Caesionidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Cirrhitidae","Hawkfishes (those species not listed as chcrt)","WPFMC","Cirrhitidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Antennariidae","Frogfishes","WPFMC","Antennariidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Syngnathidae","Pipefishes and seahorses","WPFMC","Syngnathidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Bothidae","Flounders and soles","WPFMC","Bothidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Ostraciidae","Trunkfishes","WPFMC","Ostraciidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Tetradontidae","Puffer fishes and porcupine fishes","WPFMC","Tetradontidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Aulostomus chinensis","Trumpetfish","WPFMC","Aulostomus chinensis"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Fistularia commersoni","Cornetfish","WPFMC","Fistularia commersonii"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Heliopora","Blue corals","WPFMC","Heliopora"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Tubipora","Organpipe corals","WPFMC","Tubipora"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Azooxanthellates","Ahermatypic corals","WPFMC","Azooxanthellates"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Fungiidae","Mushroom corals","WPFMC","Fungiidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Fungiidae","Small and large coral polyps","WPFMC","Fungiidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Millepora","Fire corals","WPFMC","Millepora"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Millepora","Soft corals and gorgonians","WPFMC","Millepora"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Actinaria","Anemones","WPFMC","Actinaria"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Zoanthinaria","Soft zoanthid corals","WPFMC","Zoanthinaria"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Hydrozoans and Bryzoans","Hydrozoans and bryzoans","WPFMC","Hydrozoans and Bryzoans"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Tunicates","Sea squirts","WPFMC","Tunicates"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Echinoderms","Sea cucumbers and sea urchins","WPFMC","Echinoderms"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Mollusca","Those species not listed as chcrt","WPFMC","Mollusca"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Gastropoda","Sea snails","WPFMC","Gastropoda"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Trochus spp.","Trochus spp.","WPFMC","Trochus spp."
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Opistobranchs","Sea slugs","WPFMC","Opistobranchs"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Pinctada margaritifera","Black lipped pearl oyster","WPFMC","Pinctada margaritifera"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Tridacnidae","Giant clam","WPFMC","Tridacnidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Other Bivalves","Other clams","WPFMC","Other Bivalves"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Cephalopods","Cephalopods","WPFMC","Cephalopods"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Crustaceans","Lobsters, shrimps/mantis shrimps, true crabs and hermit crabs (those species not listed as cmus)","WPFMC","Crustaceans"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Porifera","Sponges","WPFMC","Porifera"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Stylasteridae","Lace corals","WPFMC","Stylasteridae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Solanderidae","Hydroid corals","WPFMC","Solanderidae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Annelids","Segmented worms","WPFMC","Annelids"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Algae","Seaweed","WPFMC","Algae"
"Table 5","Coral Reef Ecosystem MUs, potentially harvested",NA,"Live rock","Live rock","WPFMC","Live rock"
