"council","fmp","type","category","comm_name","species_orig","species","family"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Orange goatfish","Mulloidichthys pfleugeri","Mulloidichthys pfluegeri","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellowstripe goatfish","Mulloidichthys flavolineatus","Mulloidichthys flavolineatus","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Banded goatfish","Parupeneus spp.","Parupeneus spp.","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Dash-dot goatfish","Parupeneus barberinus","Parupeneus barberinus","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellowsaddle goatfish","Parupeneus cyclostomas","Parupeneus cyclostomus","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Multi-barred goatfish","Parupeneus multifaciatus","Parupeneus multifasciatus","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Bantail goatfish","Upeneus arge","Upeneus taeniopterus","Mullidae (Goatfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Fringelip mullet","Crenimugil crenilabis","Crenimugil crenilabis","Mugilidae (Mullets)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Engel’s mullet","Moolgarda engeli","Moolgarda engeli","Mugilidae (Mullets)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","False mullet","Neomyxus leuciscus","Neomyxus leuciscus","Mugilidae (Mullets)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellowmargin moray eel","Gymnothorax flavimarginatus","Gymnothorax flavimarginatus","Muraenidae (Moray eels)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Giant moray eel","Gymnothorax javanicus","Gymnothorax javanicus","Muraenidae (Moray eels)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Undulated moray eel","Gymnothorax undulatus","Gymnothorax undulatus","Muraenidae (Moray eels)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Octopus","Octopus cyanea","Octopus cyanea","Octopodidae"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Octopus","Octopus ornatus","Callistoctopus ornatus","Octopodidae"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Glasseye","Heteropriacanthus cruentatus","Heteropriacanthus cruentatus","Pricanthidae (Bigeye)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Humphead parrotfish","Bolbometopon muricatum","Bolbometopon muricatum","Scaridae (Parrotfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Parrotfish","Scarus spp.","Scarus spp.","Scaridae (Parrotfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Pacific longnose
Parrotfish","Hipposcarus longiceps","Hipposcarus longiceps","Scaridae (Parrotfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Stareye parrotfish","Calotomus carolinus","Calotomus carolinus","Scaridae (Parrotfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Dogtooth tuna","Gymnosarda unicolor","Gymnosarda unicolor","Scombridae"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Great barracuda","Sphyraena barracuda","Sphyraena barracuda","Sphyraenidae (Barracuda)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Wrasses (those species not listed as chcrt)","Labridae","Labridae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sharks (those species not listed as chcrt)","Carcharhinidae, Sphyrnidae","Carcharhinidae, Sphyrnidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Rays and skates","Myliobatidae, Mobulidae","Myliobatidae, Mobulidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Groupers (those species not listed as chcrt or as bmus)","Serrandiae","Serrandiae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Jacks and scads (those species not listed as chcrt or as bmus)","Carangidae","Carangidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Solderfishes and squirrelfishes,(those species not listed as chcrt)","Holocentridae","Holocentridae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Goatfishes,(those species not listed as chcrt)","Mullidae","Mullidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Batfishes","Ephippidae","Ephippidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sweetlips","Haemulidae","Haemulidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Remoras","Echeneidae","Echeneidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Tilefishes","Malacanthidae","Malacanthidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Dottybacks","Pseudochromidae","Pseudochromidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Prettyfins","Plesiopidae","Plesiopidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Surgeonfishes (those species not listed as chcrt)","Acanthuridae","Acanthuridae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Emperors (those species not listed as chcrt or as bmus)","Lethrinidae","Lethrinidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Herrings","Clupeidae","Clupeidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Gobies","Gobiidae","Gobiidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Snappers (those species not listed as chcrt or as bmus)","Lutjanidae","Lutjanidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Trigger fishes (those species not listed as chcrt)","Balistidae","Balistidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Rabbitfishes (those species not listed as chcrt)","Siganidae","Siganidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Eels (those species not listed as chcrt)","Muraenidae, Chlopsidae, Congridae, Ophichthidae","Muraenidae, Chlopsidae, Congridae, Ophichthidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Cardinalfishes","Apogonidae","Apogonidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Moorish idols","Zanclidae","Zanclidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Butterfly fishes","Chaetodontidae","Chaetodontidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Angelfishes","Pomacanthidae","Pomacanthidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Damselfishes","Pomacentridae","Pomacentridae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Scorpionfishes","Scorpaenidae","Scorpaenidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Blennies","Blenniidae","Blenniidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Barracudas (those species not listed as chcrt)","Sphyraenidae","Sphyraenidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sandperches","Pinguipedidae","Pinguipedidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Rudderfishes (those species not listed as chcrt)","Kyphosidae","Kyphosidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Fusiliers","Caesionidae","Caesionidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Hawkfishes (those species not listed as chcrt)","Cirrhitidae","Cirrhitidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Frogfishes","Antennariidae","Antennariidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Pipefishes and seahorses","Syngnathidae","Syngnathidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Flounders and soles","Bothidae","Bothidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Trunkfishes","Ostraciidae","Ostraciidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Puffer fishes and porcupine fishes","Tetradontidae","Tetradontidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Trumpetfish","Aulostomus chinensis","Aulostomus chinensis",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Cornetfish","Fistularia commersoni","Fistularia commersonii",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Blue corals","Heliopora","Heliopora",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Organpipe corals","Tubipora","Tubipora",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Ahermatypic corals","Azooxanthellates","Azooxanthellates",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Mushroom corals","Fungiidae","Fungiidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Small and large coral polyps","Fungiidae","Fungiidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Fire corals","Millepora","Millepora",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Soft corals and gorgonians","Millepora","Millepora",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Anemones","Actinaria","Actinaria",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Soft zoanthid corals","Zoanthinaria","Zoanthinaria",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Hydrozoans and bryzoans","Hydrozoans, Bryzoans","Hydrozoans, Bryzoans",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sea squirts","Tunicates","Tunicates",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sea cucumbers and sea urchins","Echinoderms","Echinoderms",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Those species not listed as chcrt","Mollusca","Mollusca",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sea snails","Gastropoda","Gastropoda",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Trochus spp.","Trochus spp.","Trochus spp.",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sea slugs","Opistobranchs","Opistobranchs",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Black lipped pearl oyster","Pinctada margaritifera","Pinctada margaritifera",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Giant clam","Tridacnidae","Tridacnidae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Other clams","Other bivalves","Other bivalves",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Cephalopods","Cephalopods","Cephalopods",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Lobsters, shrimps/mantis shrimps, true crabs and hermit crabs (those species not listed as cmus)","Crustaceans","Crustaceans",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Ecosystem Component","Coral Reef Ecosystem MUs, potentially harvested","Sponges","Porifera","Porifera",NA
