0,Species,genus,devPA,devBiom,Region,RCP,Uncert.,Shift,sd_shift,%Hab.,sd_hab
22,alectis,ciliaris,0.24,0.94,SEUS,85,medium,32.6,35.4,137.9,53.7
23,alectis,ciliaris,0.24,0.94,GMEX,26,low,17,12.4,29,19.4
24,alectis,ciliaris,0.24,0.94,GMEX,85,medium,34.4,16,109.8,36.4
25,alepocephalus,bairdii,0.49,0.88,East_canada,26,medium,157,140,5.6,24
26,alepocephalus,bairdii,0.49,0.88,East_canada,85,low,494.3,198.4,21.7,45.4
27,alepocephalus,tenebrosus,0.71,0.97,GOA,26,high,299.5,280.8,5.3,34
28,alepocephalus,tenebrosus,0.71,0.97,GOA,85,medium,1417.7,567.6,268.9,172
29,allosmerus,elongatus,0.32,0.89,GOA,26,low,384.2,292.8,39.7,29
30,allosmerus,elongatus,0.32,0.89,GOA,85,low,1491.7,379.5,226.7,125.5
31,alosa,aestivalis,0.41,0.78,NEUS,26,high,204.7,171.2,-2.3,55.9
32,alosa,aestivalis,0.41,0.78,NEUS,85,high,400.2,208.1,-66.5,25.3
33,alosa,pseudoharengus,0.37,0.78,NEUS,26,high,149.9,141.6,-24.9,24.9
34,alosa,pseudoharengus,0.37,0.78,NEUS,85,medium,660,272.3,-71.5,21.1
35,alosa,sapidissima,0.27,0.79,NEUS,26,low,65,50.9,20.6,28.6
36,alosa,sapidissima,0.27,0.79,NEUS,85,low,337.6,188,-19.9,57.5
37,alosa,sapidissima,0.43,0.9,West_USA,26,low,332.6,246.4,34.8,35
38,alosa,sapidissima,0.43,0.9,West_USA,85,low,1600.7,381,151.7,106.9
39,aluterus,schoepfii,0.34,0.94,SEUS,26,medium,17.1,10.8,84.1,70.4
40,aluterus,schoepfii,0.34,0.94,SEUS,85,medium,41.1,26.4,1032.8,537.1
41,aluterus,schoepfii,0.34,0.94,GMEX,26,high,11.1,9.7,24.1,24.5
42,aluterus,schoepfii,0.34,0.94,GMEX,85,medium,23.4,24.4,143.4,59.9
43,amblyraja,radiata,0.4,0.87,East_canada,26,low,118.2,70.4,5.5,11.6
44,amblyraja,radiata,0.4,0.87,East_canada,85,medium,442.1,244,-15.5,35.6
45,ammodytes,dubius,0.35,0.76,East_canada,26,medium,92.8,59.3,-23,15.5
46,ammodytes,dubius,0.35,0.76,East_canada,85,high,256.4,135.8,-64.9,24.3
47,ammodytes,hexapterus,0.23,0.37,EBS,26,low,22.1,18.1,2.2,18.4
48,ammodytes,hexapterus,0.23,0.37,EBS,85,medium,69.7,34.8,-22.9,52.5
49,ampheraster,marianus,0.43,0.95,GOA,26,medium,237.3,202.4,2.6,17.8
50,ampheraster,marianus,0.43,0.95,GOA,85,medium,1273.6,417.8,76.8,49.3
51,amusium,papyraceum,0.56,0.92,GMEX,26,medium,0.2,0.3,130.8,127.7
52,amusium,papyraceum,0.56,0.92,GMEX,85,medium,0.8,1.6,714.2,704.3
53,anadara,baughmani,0.49,0.93,GMEX,26,low,36.4,26.4,30.3,33.5
54,anadara,baughmani,0.49,0.93,GMEX,85,medium,51,34.2,120.9,71.5
55,anarhichas,denticulatus,0.45,0.86,East_canada,26,low,133.9,114.6,2.4,12.3
56,anarhichas,denticulatus,0.45,0.86,East_canada,85,low,456.2,150.1,-32,41.2
57,anarhichas,lupus,0.29,0.89,East_canada,26,low,124.8,65.4,3.4,9.8
58,anarhichas,lupus,0.29,0.89,East_canada,85,medium,432.4,245.3,-24,35.5
59,anarhichas,minor,0.44,0,East_canada,85,East_canada,26,low,71.3,49.3
60,anarhichas,minor,0.44,0,East_canada,85,low,202.7,105.2,-66.3,42.6
61,anasimus,latus,0.47,0.91,GMEX,26,medium,0.4,0.5,82.9,84.4
62,anasimus,latus,0.47,0.91,GMEX,85,low,1.9,2.7,153.6,182.5
63,anchoa,hepsetus,0.4,0.91,SEUS,26,medium,15.4,16.7,4.7,13.7
64,anchoa,hepsetus,0.4,0.91,SEUS,85,high,159.1,173.8,41,42
65,anchoa,hepsetus,0.4,0.91,GMEX,26,medium,19.6,14.3,-8.2,10.2
66,anchoa,hepsetus,0.4,0.91,GMEX,85,medium,61.2,42.2,-64.1,18.9
67,anchoa,lyolepis,0.26,0.95,SEUS,26,low,16.2,14.9,7.5,11
68,anchoa,lyolepis,0.26,0.95,SEUS,85,low,91.2,37.8,-0.3,19.9
69,anchoa,lyolepis,0.26,0.95,GMEX,26,low,24,17.7,-12.6,9.3
70,anchoa,lyolepis,0.26,0.95,GMEX,85,low,82.2,30.9,-46.2,9.8
71,anchoa,mitchilli,0.32,0.84,SEUS,26,high,68.8,91.8,0.3,25.2
72,anchoa,mitchilli,0.32,0.84,SEUS,85,low,589.3,226.9,150.5,134.1
73,anchoa,mitchilli,0.32,0.84,GMEX,26,medium,24,24.3,-24.5,12.8
74,anchoa,mitchilli,0.32,0.84,GMEX,85,high,53.3,43.5,-77.3,7.9
75,ancylopsetta,dilecta,0.49,0.91,SEUS,26,medium,77.8,96.4,97.9,117.2
76,ancylopsetta,dilecta,0.49,0.91,SEUS,85,low,321.9,137.1,621,1508.7
77,ancylopsetta,dilecta,0.49,0.91,GMEX,26,medium,68.8,68.7,-7,23.3
78,ancylopsetta,dilecta,0.49,0.91,GMEX,85,low,254.5,150.9,-74.5,24.6
79,ancylopsetta,ommata,0.41,0.98,SEUS,26,low,9.1,7.7,23.6,27.6
80,ancylopsetta,ommata,0.41,0.98,SEUS,85,low,57.4,38.7,66,40.2
81,ancylopsetta,ommata,0.41,0.98,GMEX,26,low,8,4.2,1.2,3.2
82,ancylopsetta,ommata,0.41,0.98,GMEX,85,high,16.7,10.1,-5.4,9.2
83,anoplopoma,fimbria,0.46,0.24,GOA,26,low,181.9,116.1,0.2,4.6
84,anoplopoma,fimbria,0.46,0.24,GOA,85,low,689.2,105.9,-10.9,14.9
85,anthoptilum,grandiflorum,0.42,0.98,GOA,26,medium,249.6,194.2,5.9,31.9
86,anthoptilum,grandiflorum,0.42,0.98,GOA,85,medium,1463.4,414.8,77.7,85.1
87,antimora,microlepis,0.57,0.92,West_USA,26,low,262.4,170.8,159.3,81.3
88,antimora,microlepis,0.57,0.92,West_USA,85,high,1022.4,865.5,2040.3,4826.3
89,antimora,rostrata,0.74,0.91,East_canada,26,medium,185.1,139.3,-0.8,16.3
90,antimora,rostrata,0.74,0.91,East_canada,85,low,526.1,189.3,5.3,40.8
91,aphrocallistes,vastus,0.27,0.69,EBS,26,medium,271,177.6,17.3,36.5
92,aphrocallistes,vastus,0.27,0.69,EBS,85,low,709.1,355.2,-16.7,110
93,aphrodita,negligens,0.19,0.78,EBS,26,high,48.1,64,-22,31.3
94,aphrodita,negligens,0.19,0.78,EBS,85,medium,128,122.1,-86,17.4
95,apostichopus,leukothele,0.34,0.92,GOA,26,low,290.3,168.2,14.8,16.3
96,apostichopus,leukothele,0.34,0.92,GOA,85,low,888.4,229.7,16.3,51.6
97,apristurus,brunneus,0.59,0.97,GOA,26,high,228.7,196.1,-5.2,9.6
98,apristurus,brunneus,0.59,0.97,GOA,85,high,924.4,370.9,24.6,25.5
99,apristurus,profundorum,0.5,0.92,East_canada,26,low,159.7,103.8,-2.9,19.4
100,apristurus,profundorum,0.5,0.92,East_canada,85,low,324,139.1,24.5,35.4
101,aptocyclus,ventricosus,0.16,0.87,EBS,26,low,79.2,55.9,-28.3,26.6
102,aptocyclus,ventricosus,0.16,0.87,EBS,85,low,225.2,69,-83.9,24
103,archosargus,probatocephalus,0.32,0.97,SEUS,26,low,34.5,25.9,-13.8,11
104,archosargus,probatocephalus,0.32,0.97,SEUS,85,low,333.8,170.8,-46.4,16.9
105,archosargus,probatocephalus,0.32,0.97,GMEX,26,medium,23.5,18.3,-24.4,15.5
106,archosargus,probatocephalus,0.32,0.97,GMEX,85,medium,49.2,25.6,-82.7,7.3
107,arctomelon,stearnsii,0.23,0.83,EBS,26,low,139.5,107,-34.2,48.2
108,arctomelon,stearnsii,0.23,0.83,EBS,85,low,528.2,131.9,-93.9,12.1
109,arctozenus,risso,0.44,0.84,East_canada,26,medium,303.3,216.2,23.9,76.6
110,arctozenus,risso,0.44,0.84,East_canada,85,medium,672.1,278.9,52.4,69.8
111,arenaeus,cribrarius,0.48,0.95,SEUS,26,medium,19.6,15.8,28,42.3
112,arenaeus,cribrarius,0.48,0.95,SEUS,85,medium,60.7,35.5,7.7,101.4
113,arenaeus,cribrarius,0.48,0.95,GMEX,26,medium,31.3,19.6,7.8,18.7
114,arenaeus,cribrarius,0.48,0.95,GMEX,85,medium,82.4,60.1,-37.8,19.6
115,argentina,sialis,0.32,0.95,West_USA,26,low,167,124.1,42.9,36.8
116,argentina,sialis,0.32,0.95,West_USA,85,low,791.2,259.1,257,176.8
117,argentina,silus,0.35,0.75,East_canada,26,low,118.6,92.8,24.2,33.9
118,argentina,silus,0.35,0.75,East_canada,85,low,491.3,205.7,25.2,123.1
119,argis,dentata,0.55,0,East_canada,85,East_canada,26,low,79.2,66.7
120,argis,dentata,0.55,0,East_canada,85,medium,199,116.7,-79.9,28.6
121,argis,dentata,0.16,0.95,EBS,26,low,32.5,15.3,-46.2,46.7
122,argis,dentata,0.16,0.95,EBS,85,low,86.5,42.5,-98.1,3.9
123,argis,lar,0.19,0.96,EBS,26,low,40.4,29.3,-41.5,34.1
124,argis,lar,0.19,0.96,EBS,85,low,117.4,49.9,-95.7,7.4
125,argopecten,gibbus,0.31,0.86,SEUS,26,medium,87,93.4,243.3,294.1
126,argopecten,gibbus,0.31,0.86,SEUS,85,medium,401.8,207.6,5218.8,5224.3
127,argopecten,gibbus,0.31,0.86,GMEX,26,medium,37.6,40.5,-0.3,29.7
128,argopecten,gibbus,0.31,0.86,GMEX,85,medium,221.2,146.9,-82.3,24.2
129,ariopsis,felis,0.43,0.98,SEUS,26,low,29.9,23.7,84.5,102.1
130,ariopsis,felis,0.43,0.98,SEUS,85,low,90.3,57.1,484.8,635.6
131,ariopsis,felis,0.43,0.98,GMEX,26,high,31.3,46.9,-0.5,13.9
132,ariopsis,felis,0.43,0.98,GMEX,85,medium,95.8,99.5,-57.1,24
133,artediellus,uncinatus,0.29,0.74,East_canada,26,medium,202.1,195.5,-14.1,42
134,artediellus,uncinatus,0.29,0.74,East_canada,85,high,621.4,472.5,-57.9,28.5
135,aspidophoroides,bartoni,0.26,0.95,EBS,26,medium,89.5,69.1,-33.5,65.6
136,aspidophoroides,bartoni,0.26,0.95,EBS,85,low,184.1,87.1,-97.5,5.6
137,aspidophoroides,monopterygius,0.3,0.83,East_canada,26,low,127.8,84.4,-9.4,26.8
138,aspidophoroides,monopterygius,0.3,0.83,East_canada,85,low,261.9,143.3,-67.7,32.5
139,aspidophoroides,olrikii,0.49,0.89,East_canada,26,low,120.7,79,-35.6,39.2
140,aspidophoroides,olrikii,0.49,0.89,East_canada,85,medium,249.5,107.2,-80.4,32.3
141,asterias,amurensis,0.7,0.94,EBS,26,medium,98.1,73.9,-2,148.1
142,asterias,amurensis,0.7,0.94,EBS,85,low,200.8,115.4,-97.9,4.2
143,astropecten,cingulatus,0.46,0.92,GMEX,26,high,36.2,25.6,45.7,46
144,astropecten,cingulatus,0.46,0.92,GMEX,85,medium,51.9,57.2,297,168.7
145,astropecten,duplius,0.4,0.9,GMEX,26,medium,81.1,85.6,62,63.3
146,astropecten,duplius,0.4,0.9,GMEX,85,medium,312.2,199.1,15.6,98.8
147,atheresthes,stomias,0.58,0.89,GOA,26,low,401.3,318,9.3,28.3
148,atheresthes,stomias,0.58,0.89,GOA,85,low,1522.8,341,15.7,60.3
149,atlantopandalus,propinqvus,0.41,0.83,East_canada,26,medium,91.1,52.9,22.9,24.1
150,atlantopandalus,propinqvus,0.41,0.83,East_canada,85,medium,339.1,254.6,15.3,42.6
151,bagre,marinus,0.35,0.98,SEUS,26,medium,82.9,86,515.7,437.2
152,bagre,marinus,0.35,0.98,SEUS,85,high,145.9,93.1,13751.7,17110.7
153,bagre,marinus,0.35,0.98,GMEX,26,high,49.2,53.9,439.4,476.4
154,bagre,marinus,0.35,0.98,GMEX,85,high,136.7,124.6,30123.2,49134.1
155,bairdiella,chrysoura,0.42,0.93,SEUS,26,low,29.7,24,-11.8,10
156,bairdiella,chrysoura,0.42,0.93,SEUS,85,medium,434.7,328.9,2.6,56.6
157,bairdiella,chrysoura,0.42,0.93,GMEX,26,low,16.8,9,-7.8,5.8
158,bairdiella,chrysoura,0.42,0.93,GMEX,85,medium,30.9,16.4,-22.5,7.8
159,balistes,capriscus,0.36,0.93,SEUS,26,medium,21.4,14.4,50.8,44.8
160,balistes,capriscus,0.36,0.93,SEUS,85,low,74.2,47.5,503,160.3
161,balistes,capriscus,0.36,0.93,GMEX,26,low,39.8,34.9,13.4,20.2
162,balistes,capriscus,0.36,0.93,GMEX,85,low,183.8,91.6,-28.1,48
163,bathyagonus,nigripinnis,0.28,0.15,GOA,26,low,161,109.3,-3.4,7.8
164,bathyagonus,nigripinnis,0.28,0.15,GOA,85,low,739.3,258.6,-14.5,19.4
165,bathybembix,bairdii,0.6,0.96,GOA,26,medium,327.3,342.3,3,28
166,bathybembix,bairdii,0.6,0.96,GOA,85,medium,1412.6,514.7,215.7,129.7
167,bathylagus,euryops,0.68,0.91,East_canada,26,low,131.5,74.2,6.5,13.4
168,bathylagus,euryops,0.68,0.91,East_canada,85,medium,232.4,114.4,4.9,29.3
169,bathymaster,signatus,0.24,0.03,EBS,26,low,104.6,59.3,-2.9,6.1
170,bathymaster,signatus,0.24,0.03,EBS,85,low,276,83.1,-24,12.1
171,bathypolypus,arcticus,0.38,0.75,NEUS,26,low,158.9,135.1,27,61.2
172,bathypolypus,arcticus,0.38,0.75,NEUS,85,low,728.5,268.9,-30.1,57.9
173,bathyraja,spinicauda,0.45,0.89,East_canada,26,medium,153.9,131.6,3.9,16.8
174,bathyraja,spinicauda,0.45,0.89,East_canada,85,low,556.2,195.5,-12.1,42
175,bellator,militaris,0.38,0.87,SEUS,26,high,61.4,107.9,297.6,403.5
176,bellator,militaris,0.38,0.87,SEUS,85,low,397.4,172.2,3129,3739.5
177,bellator,militaris,0.38,0.87,GMEX,26,medium,55.8,67.9,3.6,29.3
178,bellator,militaris,0.38,0.87,GMEX,85,medium,227.9,150.5,-66.9,48.7
179,beringius,behringi,0.28,0.97,EBS,26,medium,72,44.7,-38.6,60.8
180,beringius,behringi,0.28,0.97,EBS,85,medium,148.8,74.9,-98,4.3
181,berryteuthis,magister,0.37,0.1,GOA,26,low,110.3,62.6,-2.6,4.6
182,berryteuthis,magister,0.37,0.1,GOA,85,low,353.5,115.6,-5.5,12.9
183,bollmannia,communis,0.38,0.91,GMEX,26,low,43.7,37.9,-1.9,17
184,bollmannia,communis,0.38,0.91,GMEX,85,medium,133.4,79.9,-72.9,24.1
185,boltenia,ovifera,0.46,0.95,EBS,26,medium,102.3,75.2,-4.8,148.6
186,boltenia,ovifera,0.46,0.95,EBS,85,high,282.7,208.9,-99.4,1.3
187,boreogadus,saida,0.69,0.88,East_canada,26,medium,71.6,63,-30.4,38
188,boreogadus,saida,0.69,0.88,East_canada,85,medium,154.2,85,-82.6,22.9
189,boreogadus,saida,0.61,0.96,EBS,26,medium,19.8,15.8,-51,40.1
190,boreogadus,saida,0.61,0.96,EBS,85,medium,73.7,72.2,-98.4,2.8
191,bothrocara,brunneum,0.6,0.94,GOA,26,medium,323,297.1,0.4,19.1
192,bothrocara,brunneum,0.6,0.94,GOA,85,medium,1514.7,386.4,72.1,48.4
193,bregmaceros,atlanticus,0.32,0.89,GMEX,26,low,48.3,43.5,25.4,31.1
194,bregmaceros,atlanticus,0.32,0.89,GMEX,85,low,156.1,84.7,-32.3,52.5
195,brevoortia,patronus,0.36,0.89,GMEX,26,high,54.5,51.3,183.1,202.4
196,brevoortia,patronus,0.36,0.89,GMEX,85,high,107.5,131.4,2513.7,1865.5
197,brevoortia,tyrannus,0.32,0.82,SEUS,26,medium,128.7,156.1,-5.5,15.6
198,brevoortia,tyrannus,0.32,0.82,SEUS,85,low,838.6,280.7,199.2,268.3
199,brosme,brosme,0.37,0.89,NEUS,26,low,147.5,97,25,47.8
200,brosme,brosme,0.37,0.89,NEUS,85,medium,674.4,295,1.9,90.2
201,brotula,barbata,0.39,0.9,GMEX,26,high,4.1,6.1,-29.7,30.5
202,brotula,barbata,0.39,0.9,GMEX,85,high,20.1,32.4,-95.3,7.3
203,buccinum,angulosum,0.45,0.93,EBS,26,low,41.1,27.2,-43.1,36.5
204,buccinum,angulosum,0.45,0.93,EBS,85,low,181.3,78.2,-96.7,6
205,buccinum,plectrum,0.22,0.93,EBS,26,low,39.7,23.9,-47.5,38.7
206,buccinum,plectrum,0.22,0.93,EBS,85,low,156.5,79.3,-97.2,5.6
207,buccinum,polare,0.41,0.94,EBS,26,low,52.6,38.8,-37.7,36.9
208,buccinum,polare,0.41,0.94,EBS,85,low,206.6,79.5,-94.5,9.8
209,buccinum,scalariforme,0.37,0.95,EBS,26,low,50.1,35.3,-41.8,42
210,buccinum,scalariforme,0.37,0.95,EBS,85,low,158.2,66.4,-94.6,11.6
211,calamus,leucosteus,0.32,0.92,SEUS,26,medium,35.3,29.4,-7.2,27.9
212,calamus,leucosteus,0.32,0.92,SEUS,85,high,179,171.3,-55.6,17.1
213,calamus,leucosteus,0.32,0.92,GMEX,26,low,56.4,50,-22.8,13.5
214,calamus,leucosteus,0.32,0.92,GMEX,85,medium,176.9,136.2,-21.1,23.1
215,calamus,proridens,0.59,0.91,SEUS,26,high,19.9,36.7,1394.4,2563.2
216,calamus,proridens,0.59,0.91,SEUS,85,medium,262.8,212.3,15545.2,21327.5
217,calamus,proridens,0.59,0.91,GMEX,26,high,31.3,34.3,67.9,92.8
218,calamus,proridens,0.59,0.91,GMEX,85,high,83.1,64.2,126.8,218.5
219,calappa,flammea,0.31,0.97,SEUS,26,high,11.1,13.4,8.3,10.5
220,calappa,flammea,0.31,0.97,SEUS,85,high,85.4,107.3,36.5,31.9
221,calappa,flammea,0.31,0.97,GMEX,26,medium,10.8,7,-9.2,9.4
222,calappa,flammea,0.31,0.97,GMEX,85,medium,49.4,27.5,-32.2,19.1
223,calappa,sula,0.41,0.98,SEUS,26,low,12.9,12.3,10.5,6.9
224,calappa,sula,0.41,0.98,SEUS,85,high,125.6,160.9,53.4,30.3
225,calappa,sula,0.41,0.98,GMEX,26,medium,4.6,2.9,5.4,3.9
226,calappa,sula,0.41,0.98,GMEX,85,high,8.7,6.5,17.4,9
227,callinectes,ornatus,0.46,0.95,SEUS,26,low,13.3,10.3,46.5,40.8
228,callinectes,ornatus,0.46,0.95,SEUS,85,high,34.1,22.9,155.5,97.5
229,callinectes,ornatus,0.46,0.95,GMEX,26,low,47.2,44.5,34,23.9
230,callinectes,ornatus,0.46,0.95,GMEX,85,low,151.2,77.9,251.3,130.3
231,callinectes,sapidus,0.31,0.96,SEUS,26,low,25.7,20.3,-10,10.1
232,callinectes,sapidus,0.31,0.96,SEUS,85,high,263.6,262.6,21.7,54.2
233,callinectes,sapidus,0.31,0.96,GMEX,26,low,10.5,5.7,6.8,9.4
234,callinectes,sapidus,0.31,0.96,GMEX,85,high,43.1,22.3,0.1,21.3
235,callinectes,similis,0.6,0.94,SEUS,26,medium,30.2,32.4,108.7,106.9
236,callinectes,similis,0.6,0.94,SEUS,85,low,78,44.5,709.2,525.9
237,callinectes,similis,0.6,0.94,GMEX,26,medium,15.2,19,8.3,9.3
238,callinectes,similis,0.6,0.94,GMEX,85,medium,29.2,24,-18.6,25.9
239,cancer,borealis,0.24,0.8,East_canada,26,high,272.6,248.1,0.2,26.4
240,cancer,borealis,0.24,0.8,East_canada,85,medium,709.3,354.2,-43.4,46
241,cancer,irroratus,0.3,0.72,East_canada,26,high,364.3,517.3,-30.8,55
242,cancer,irroratus,0.3,0.72,East_canada,85,high,891.8,586.1,-80.9,26.5
243,cancer,productus,0.35,0.97,West_USA,26,low,262.9,180.9,36.9,29.9
244,cancer,productus,0.35,0.97,West_USA,85,low,1377.6,401.6,121.5,106.2
245,caranx,crysos,0.32,0.94,SEUS,26,low,11.3,8.3,18.1,16.6
246,caranx,crysos,0.32,0.94,SEUS,85,medium,132.2,132.6,170.4,88.5
247,caranx,crysos,0.32,0.94,GMEX,26,high,24.2,18.3,24.6,20.7
248,caranx,crysos,0.32,0.94,GMEX,85,medium,64.2,73.8,20.5,41.2
249,caranx,hippos,0.26,0.95,SEUS,26,low,33.3,22.5,27.7,20
250,caranx,hippos,0.26,0.95,SEUS,85,high,313.8,352.1,247.1,110
251,caranx,hippos,0.26,0.95,GMEX,26,medium,14.1,10.6,21.8,14.3
252,caranx,hippos,0.26,0.95,GMEX,85,medium,22.7,16.2,121.8,34.2
253,carcharhinus,acronotus,0.3,0.97,SEUS,26,low,41.6,37.8,25.5,17
254,carcharhinus,acronotus,0.3,0.97,SEUS,85,medium,168.4,101.5,231.6,99.6
255,carcharhinus,acronotus,0.3,0.97,GMEX,26,low,21,17.6,10,11.5
256,carcharhinus,acronotus,0.3,0.97,GMEX,85,low,64.4,38.2,90.6,31.7
257,carcharhinus,plumbeus,0.35,0.96,SEUS,26,medium,67.6,79.9,-0.6,9
258,carcharhinus,plumbeus,0.35,0.96,SEUS,85,low,753.6,331.1,14.9,24.9
259,carcharhinus,plumbeus,0.35,0.96,GMEX,26,medium,31.7,25.1,-31.7,19.7
260,carcharhinus,plumbeus,0.35,0.96,GMEX,85,medium,48.9,41,-91.4,4.1
261,careproctus,melanurus,0.44,0.93,GOA,26,medium,325.2,300.1,3.7,11.6
262,careproctus,melanurus,0.44,0.93,GOA,85,medium,1437.2,356.3,33.9,42.1
263,careproctus,rastrinus,0.34,0.93,EBS,26,low,31.2,27.3,-27.6,27.4
264,careproctus,rastrinus,0.34,0.93,EBS,85,low,127.5,62.1,-83.2,22.6
265,caretta,caretta,0.3,0.98,SEUS,26,low,13.8,10.4,11.3,15.2
266,caretta,caretta,0.3,0.98,SEUS,85,medium,137.6,101.7,100.4,47.3
267,caretta,caretta,0.3,0.98,GMEX,26,medium,13.8,15.2,0.4,4.9
268,caretta,caretta,0.3,0.98,GMEX,85,low,39.1,26.9,-23.6,13.6
269,caulolatilus,intermedius,0.47,0.91,GMEX,26,high,62.3,57.1,-15.2,21.6
270,caulolatilus,intermedius,0.47,0.91,GMEX,85,low,211.2,125.3,-82.1,16.5
271,centropristis,ocyurus,0.43,0.93,SEUS,26,low,105.9,94.2,395.2,524.2
272,centropristis,ocyurus,0.43,0.93,SEUS,85,medium,373.1,204.8,7522.1,8960.7
273,centropristis,ocyurus,0.43,0.93,GMEX,26,medium,30.2,35.2,7.4,29.7
274,centropristis,ocyurus,0.43,0.93,GMEX,85,medium,134.8,92.8,-65.4,32
275,centropristis,philadelphica,0.54,0.96,SEUS,26,low,19.3,15.8,49.7,37.8
276,centropristis,philadelphica,0.54,0.96,SEUS,85,low,83.1,48.1,225.4,137.2
277,centropristis,philadelphica,0.54,0.96,GMEX,26,medium,25.7,25.8,2.9,6.8
278,centropristis,philadelphica,0.54,0.96,GMEX,85,low,87.1,43.2,-28.4,16.9
279,centropristis,striata,0.33,0.8,SEUS,26,medium,65.8,69.1,-2.9,16.7
280,centropristis,striata,0.33,0.8,SEUS,85,low,528.6,139.6,82.5,58.7
281,centropristis,striata,0.33,0.8,GMEX,26,medium,54.4,43,-41.2,21
282,centropristis,striata,0.33,0.8,GMEX,85,medium,116.3,95.2,-93.4,7.2
283,centroscyllium,fabricii,0.49,0.91,East_canada,26,low,154.3,105.9,11.9,20.9
284,centroscyllium,fabricii,0.49,0.91,East_canada,85,low,392,132.5,45.8,40.1
285,ceramaster,japonicus,0.17,0.8,EBS,26,low,113.6,60.2,-33.6,55.7
286,ceramaster,japonicus,0.17,0.8,EBS,85,low,412.7,119,-92,14.4
287,ceramaster,patagonicus,0.21,0.83,EBS,26,low,122.2,102.2,-34.3,54.1
288,ceramaster,patagonicus,0.21,0.83,EBS,85,low,275.3,131.3,-94.1,16.5
289,chaceon,quinquedens,0.33,0.81,NEUS,26,high,46.2,46,13.1,22.1
290,chaceon,quinquedens,0.33,0.81,NEUS,85,medium,188.3,181.5,-10.6,36.6
291,chaetodipterus,faber,0.4,0.97,SEUS,26,medium,11.7,8.4,45.3,37.2
292,chaetodipterus,faber,0.4,0.97,SEUS,85,low,31.8,21.4,329.2,150.4
293,chaetodipterus,faber,0.4,0.97,GMEX,26,high,21.5,14.1,53.9,46.5
294,chaetodipterus,faber,0.4,0.97,GMEX,85,medium,42,35.5,347.8,170.2
295,chauliodus,macouni,0.38,0.92,GOA,26,high,277.4,215.6,12.4,26
296,chauliodus,macouni,0.38,0.92,GOA,85,high,992.5,402.7,167.8,82.7
297,chauliodus,sloani,0.64,0.89,East_canada,26,medium,163.2,116.4,11.5,21.8
298,chauliodus,sloani,0.64,0.89,East_canada,85,low,444,140.4,28.3,47.2
299,chauliodus,sloani,0.64,0.89,GMEX,26,low,49.4,36.5,-38.2,18.8
300,chauliodus,sloani,0.64,0.89,GMEX,85,medium,68.6,47.6,-93.2,3.6
301,cheiraster,dawsoni,0.23,0.18,EBS,26,low,112.8,70.5,-2.6,6.4
302,cheiraster,dawsoni,0.23,0.18,EBS,85,low,303.1,137.9,0.4,19.3
303,chiasmodon,niger,0.59,0.91,East_canada,26,medium,182.3,117,1.8,16.8
304,chiasmodon,niger,0.59,0.91,East_canada,85,low,492,173.3,7.2,41.1
305,chilara,taylori,0.3,0.92,West_USA,26,medium,192.2,178,20.2,16.2
306,chilara,taylori,0.3,0.92,West_USA,85,medium,836.6,439.9,84.8,121.2
307,chilomycterus,schoepfii,0.38,0.96,SEUS,26,low,27.1,22.7,-9.6,11
